iter	Passed	Remaining
0	0	75
1	1	73
2	2	75
3	2	69
4	3	70
5	4	70
6	5	71
7	6	72
8	8	89
9	10	90
10	10	86
11	11	83
12	11	79
13	13	79
14	14	81
15	15	80
16	16	78
17	16	76
18	17	73
19	18	75
20	19	75
21	21	74
22	21	72
23	22	71
24	24	72
25	25	72
26	26	71
27	27	69
28	27	67
29	29	68
30	31	69
31	32	68
32	32	66
33	33	65
34	35	65
35	36	64
36	37	63
37	37	61
38	39	61
39	40	60
40	41	59
41	41	57
42	44	58
43	45	57
44	46	56
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	54	51
51	55	50
52	56	49
53	57	49
54	59	48
55	60	47
56	62	47
57	66	47
58	67	46
59	69	46
60	71	45
61	73	45
62	77	45
63	81	45
64	82	44
65	84	43
66	87	42
67	88	41
68	90	40
69	92	39
70	95	39
71	99	38
72	100	37
73	102	35
74	104	34
75	106	33
76	109	32
77	110	31
78	111	29
79	113	28
80	116	27
81	118	26
82	122	25
83	124	23
84	126	22
85	129	21
86	130	19
87	132	18
88	135	16
89	137	15
90	140	13
91	142	12
92	143	10
93	146	9
94	147	7
95	148	6
96	150	4
97	151	3
98	152	1
99	153	0
