iter	Passed	Remaining
0	161	160910
1	163	81692
2	165	54886
3	170	42480
4	172	34425
5	177	29381
6	182	25949
7	184	22877
8	191	21111
9	206	20400
10	209	18802
11	213	17611
12	216	16434
13	225	15897
14	228	14978
15	233	14380
16	235	13632
17	250	13666
18	252	13061
19	258	12648
20	261	12182
21	265	11817
22	271	11514
23	274	11155
24	275	10751
25	281	10538
26	284	10254
27	286	9934
28	288	9651
29	289	9374
30	294	9199
31	302	9154
32	310	9091
33	312	8889
34	315	8703
35	318	8532
36	323	8409
37	324	8210
38	328	8085
39	329	7908
40	355	8307
41	367	8373
42	369	8219
43	379	8246
44	389	8257
45	393	8155
46	396	8033
47	398	7900
48	423	8222
49	432	8216
50	437	8136
51	471	8602
52	476	8522
53	482	8445
54	487	8378
55	489	8251
56	493	8168
57	497	8076
58	498	7953
59	500	7840
60	502	7732
61	504	7626
62	505	7519
63	524	7673
64	537	7727
65	551	7800
66	560	7802
67	561	7693
68	576	7781
69	578	7690
70	581	7602
71	585	7542
72	586	7448
73	590	7394
74	596	7355
75	609	7409
76	614	7363
77	626	7406
78	629	7341
79	632	7271
80	634	7198
81	639	7164
82	646	7138
83	653	7120
84	656	7066
85	658	6994
86	659	6916
87	664	6885
88	668	6843
89	670	6783
90	673	6723
91	675	6665
92	678	6618
93	680	6559
94	682	6503
95	685	6450
96	688	6410
97	691	6367
98	695	6330
99	704	6341
100	738	6574
101	742	6536
102	755	6582
103	758	6530
104	760	6483
105	767	6471
106	770	6432
107	785	6487
108	790	6464
109	798	6459
110	805	6451
111	809	6418
112	825	6481
113	832	6472
114	834	6424
115	841	6411
116	852	6433
117	854	6387
118	856	6344
119	859	6300
120	860	6253
121	861	6202
122	862	6148
123	865	6117
124	870	6092
125	872	6053
126	878	6039
127	884	6023
128	887	5992
129	889	5951
130	897	5952
131	910	5986
132	921	6007
133	923	5967
134	933	5979
135	948	6028
136	1048	6603
137	1053	6582
138	1069	6623
139	1074	6599
140	1077	6565
141	1080	6530
142	1082	6485
143	1083	6440
144	1085	6402
145	1094	6399
146	1100	6383
147	1101	6342
148	1103	6302
149	1108	6278
150	1110	6241
151	1114	6216
152	1119	6196
153	1121	6159
154	1125	6134
155	1127	6099
156	1131	6076
157	1136	6057
158	1138	6021
159	1140	5986
160	1144	5966
161	1146	5931
162	1149	5903
163	1153	5881
164	1156	5853
165	1158	5821
166	1160	5789
167	1162	5759
168	1165	5732
169	1171	5720
170	1173	5688
171	1178	5674
172	1180	5642
173	1182	5612
174	1183	5581
175	1185	5552
176	1189	5531
177	1191	5503
178	1193	5474
179	1196	5452
180	1197	5420
181	1199	5392
182	1201	5363
183	1202	5334
184	1203	5303
185	1208	5289
186	1212	5270
187	1214	5245
188	1216	5218
189	1222	5209
190	1224	5185
191	1225	5158
192	1233	5156
193	1234	5128
194	1239	5115
195	1240	5089
196	1250	5095
197	1258	5098
198	1260	5073
199	1265	5061
200	1269	5046
201	1272	5025
202	1275	5006
203	1278	4988
204	1281	4969
205	1285	4956
206	1294	4959
207	1299	4948
208	1306	4944
209	1309	4924
210	1313	4912
211	1315	4890
212	1317	4866
213	1320	4850
214	1325	4840
215	1330	4829
216	1332	4806
217	1336	4792
218	1341	4784
219	1343	4763
220	1347	4748
221	1349	4730
222	1352	4713
223	1355	4697
224	1361	4690
225	1363	4671
226	1365	4651
227	1367	4629
228	1369	4609
229	1373	4599
230	1379	4593
231	1381	4574
232	1384	4557
233	1388	4544
234	1390	4525
235	1392	4508
236	1397	4497
237	1400	4485
238	1402	4467
239	1405	4451
240	1411	4444
241	1417	4438
242	1423	4435
243	1427	4424
244	1430	4407
245	1433	4394
246	1435	4375
247	1439	4366
248	1447	4366
249	1450	4352
250	1458	4352
251	1460	4334
252	1467	4332
253	1470	4319
254	1473	4304
255	1481	4304
256	1483	4288
257	1486	4273
258	1487	4256
259	1494	4253
260	1499	4245
261	1501	4229
262	1505	4218
263	1507	4202
264	1512	4194
265	1515	4181
266	1519	4171
267	1524	4163
268	1528	4152
